sign_id,ratio,k,n_injected,injected_idx,injected_frames,n_detected,detected_idx,detected_frames,detect_precision,detect_recall,err_m,fallback
77,0.1,10,1,7,2011_09_26_drive_0096_0000000257,3,0|7|8,2011_09_26_drive_0096_0000000250|2011_09_26_drive_0096_0000000257|2011_09_26_drive_0096_0000000258,0.333,1.0,1.272,0
78,0.1,11,1,8,2011_09_26_drive_0096_0000000416,3,0|1|8,2011_09_26_drive_0096_0000000400|2011_09_26_drive_0096_0000000402|2011_09_26_drive_0096_0000000416,0.333,1.0,0.693,0
79,0.1,11,1,6,2011_09_26_drive_0096_0000000444,3,0|2|6,2011_09_26_drive_0096_0000000432|2011_09_26_drive_0096_0000000436|2011_09_26_drive_0096_0000000444,0.333,1.0,2.372,0
83,0.1,8,1,6,2011_09_26_drive_0101_0000000656,3,1|2|6,2011_09_26_drive_0101_0000000651|2011_09_26_drive_0101_0000000652|2011_09_26_drive_0101_0000000656,0.333,1.0,0.942,0
86,0.1,9,1,8,2011_09_26_drive_0104_0000000013,3,0|7|8,2011_09_26_drive_0104_0000000005|2011_09_26_drive_0104_0000000012|2011_09_26_drive_0104_0000000013,0.333,1.0,0.241,0
92,0.1,14,1,1,2011_09_26_drive_0104_0000000099,3,1|7|13,2011_09_26_drive_0104_0000000099|2011_09_26_drive_0104_0000000105|2011_09_26_drive_0104_0000000111,0.333,1.0,3.883,0
95,0.1,9,1,8,2011_09_26_drive_0104_0000000284,3,0|4|8,2011_09_26_drive_0104_0000000276|2011_09_26_drive_0104_0000000280|2011_09_26_drive_0104_0000000284,0.333,1.0,0.826,0
101,0.1,9,1,1,2011_09_28_drive_0001_0000000028,3,0|1|8,2011_09_28_drive_0001_0000000027|2011_09_28_drive_0001_0000000028|2011_09_28_drive_0001_0000000035,0.333,1.0,2.32,0
104,0.1,12,1,1,2011_09_29_drive_0004_0000000069,3,0|1|11,2011_09_29_drive_0004_0000000067|2011_09_29_drive_0004_0000000069|2011_09_29_drive_0004_0000000079,0.333,1.0,0.726,0
107,0.1,10,1,0,2011_09_29_drive_0071_0000000898,3,0|4|7,2011_09_29_drive_0071_0000000898|2011_09_29_drive_0071_0000000902|2011_09_29_drive_0071_0000000905,0.333,1.0,0.28,0
110,0.1,17,2,4|13,2011_09_30_drive_0018_0000000846|2011_09_30_drive_0018_0000000855,3,0|4|13,2011_09_30_drive_0018_0000000842|2011_09_30_drive_0018_0000000846|2011_09_30_drive_0018_0000000855,0.667,1.0,1.804,0
113,0.1,22,2,17|21,2011_09_30_drive_0018_0000002493|2011_09_30_drive_0018_0000002497,3,15|17|21,2011_09_30_drive_0018_0000002491|2011_09_30_drive_0018_0000002493|2011_09_30_drive_0018_0000002497,0.667,1.0,0.768,0
116,0.1,14,1,7,2011_09_30_drive_0020_0000000021,3,0|7|11,2011_09_30_drive_0020_0000000014|2011_09_30_drive_0020_0000000021|2011_09_30_drive_0020_0000000025,0.333,1.0,1.455,0
123,0.1,8,1,4,2011_09_30_drive_0027_0000000541,3,3|4|7,2011_09_30_drive_0027_0000000540|2011_09_30_drive_0027_0000000541|2011_09_30_drive_0027_0000000544,0.333,1.0,4.124,0
128,0.1,13,1,3,2011_09_30_drive_0027_0000000875,3,2|3|10,2011_09_30_drive_0027_0000000874|2011_09_30_drive_0027_0000000875|2011_09_30_drive_0027_0000000882,0.333,1.0,6.466,0
129,0.1,7,1,5,2011_09_30_drive_0027_0000000881,3,0|1|5,2011_09_30_drive_0027_0000000876|2011_09_30_drive_0027_0000000877|2011_09_30_drive_0027_0000000881,0.333,1.0,4.467,0
131,0.1,13,1,1,2011_09_30_drive_0027_0000001027,3,0|1|3,2011_09_30_drive_0027_0000001026|2011_09_30_drive_0027_0000001027|2011_09_30_drive_0027_0000001029,0.333,1.0,1.591,0
134,0.1,8,1,2,2011_09_30_drive_0028_0000001084,3,0|1|2,2011_09_30_drive_0028_0000001081|2011_09_30_drive_0028_0000001082|2011_09_30_drive_0028_0000001084,0.333,1.0,1.165,0
135,0.1,8,1,2,2011_09_30_drive_0028_0000001084,3,0|2|7,2011_09_30_drive_0028_0000001081|2011_09_30_drive_0028_0000001084|2011_09_30_drive_0028_0000001094,0.333,1.0,0.978,0
152,0.1,8,1,6,2011_09_30_drive_0028_0000002995,3,0|3|6,2011_09_30_drive_0028_0000002988|2011_09_30_drive_0028_0000002991|2011_09_30_drive_0028_0000002995,0.333,1.0,0.9,0
179,0.1,10,1,5,2011_09_30_drive_0033_0000001063,3,0|1|5,2011_09_30_drive_0033_0000001058|2011_09_30_drive_0033_0000001059|2011_09_30_drive_0033_0000001063,0.333,1.0,2.059,0
180,0.1,14,1,7,2011_09_30_drive_0033_0000001076,3,4|5|7,2011_09_30_drive_0033_0000001070|2011_09_30_drive_0033_0000001072|2011_09_30_drive_0033_0000001076,0.333,1.0,12.232,0
181,0.1,12,1,9,2011_09_30_drive_0033_0000001136,3,7|9|10,2011_09_30_drive_0033_0000001134|2011_09_30_drive_0033_0000001136|2011_09_30_drive_0033_0000001137,0.333,1.0,0.789,0
182,0.1,12,1,1,2011_09_30_drive_0033_0000001131,3,1|4|11,2011_09_30_drive_0033_0000001131|2011_09_30_drive_0033_0000001134|2011_09_30_drive_0033_0000001141,0.333,1.0,0.33,0
203,0.1,8,1,2,2011_10_03_drive_0027_0000000187,3,0|1|2,2011_10_03_drive_0027_0000000185|2011_10_03_drive_0027_0000000186|2011_10_03_drive_0027_0000000187,0.333,1.0,1.345,0
212,0.1,16,2,5|9,2011_10_03_drive_0027_0000000928|2011_10_03_drive_0027_0000000932,3,3|5|9,2011_10_03_drive_0027_0000000926|2011_10_03_drive_0027_0000000928|2011_10_03_drive_0027_0000000932,0.667,1.0,1.33,0
227,0.1,10,1,5,2011_10_03_drive_0027_0000001709,3,5|6|9,2011_10_03_drive_0027_0000001709|2011_10_03_drive_0027_0000001710|2011_10_03_drive_0027_0000001715,0.333,1.0,1.426,0
228,0.1,10,1,4,2011_10_03_drive_0027_0000001708,3,0|4|9,2011_10_03_drive_0027_0000001704|2011_10_03_drive_0027_0000001708|2011_10_03_drive_0027_0000001715,0.333,1.0,1.618,0
230,0.1,14,1,7,2011_10_03_drive_0027_0000002319,3,0|1|7,2011_10_03_drive_0027_0000002303|2011_10_03_drive_0027_0000002310|2011_10_03_drive_0027_0000002319,0.333,1.0,0.747,0
231,0.1,19,2,3|12,2011_10_03_drive_0027_0000002325|2011_10_03_drive_0027_0000002340,3,3|8|12,2011_10_03_drive_0027_0000002325|2011_10_03_drive_0027_0000002332|2011_10_03_drive_0027_0000002340,0.667,1.0,1.075,0
234,0.1,10,1,2,2011_10_03_drive_0027_0000002603,3,2|3|6,2011_10_03_drive_0027_0000002603|2011_10_03_drive_0027_0000002604|2011_10_03_drive_0027_0000002607,0.333,1.0,1.304,0
239,0.1,9,1,4,2011_10_03_drive_0027_0000003363,3,1|4|8,2011_10_03_drive_0027_0000003360|2011_10_03_drive_0027_0000003363|2011_10_03_drive_0027_0000003368,0.333,1.0,2.543,0
0,0.2,27,5,7|8|12|15|19,2011_09_26_drive_0005_0000000022|2011_09_26_drive_0005_0000000024|2011_09_26_drive_0005_0000000032|2011_09_26_drive_0005_0000000038|2011_09_26_drive_0005_0000000046,3,8|12|15,2011_09_26_drive_0005_0000000024|2011_09_26_drive_0005_0000000032|2011_09_26_drive_0005_0000000038,1.0,0.6,1.225,0
1,0.2,9,2,2|6,2011_09_26_drive_0005_0000000048|2011_09_26_drive_0005_0000000052,3,1|2|6,2011_09_26_drive_0005_0000000046|2011_09_26_drive_0005_0000000048|2011_09_26_drive_0005_0000000052,0.667,1.0,2.472,0
