sign_id,ratio,k,n_injected,injected_idx,injected_frames,n_detected,detected_idx,detected_frames,detect_precision,detect_recall,err_m,fallback
214,0.0,10,0,,,6,0|1|2|6|7|9,2011_10_03_drive_0027_0000001094|2011_10_03_drive_0027_0000001095|2011_10_03_drive_0027_0000001096|2011_10_03_drive_0027_0000001100|2011_10_03_drive_0027_0000001101|2011_10_03_drive_0027_0000001103,0.0,1.0,4.294,0
215,0.0,7,0,,,1,0,2011_10_03_drive_0027_0000001175,0.0,1.0,2.207,0
216,0.0,15,0,,,4,0|1|2|8,2011_10_03_drive_0027_0000001180|2011_10_03_drive_0027_0000001181|2011_10_03_drive_0027_0000001182|2011_10_03_drive_0027_0000001188,0.0,1.0,3.951,0
218,0.0,9,0,,,0,,,1.0,1.0,0.754,0
219,0.0,15,0,,,5,5|6|10|11|12,2011_10_03_drive_0027_0000001349|2011_10_03_drive_0027_0000001350|2011_10_03_drive_0027_0000001354|2011_10_03_drive_0027_0000001355|2011_10_03_drive_0027_0000001356,0.0,1.0,0.692,0
220,0.0,15,0,,,4,2|3|4|11,2011_10_03_drive_0027_0000001346|2011_10_03_drive_0027_0000001347|2011_10_03_drive_0027_0000001348|2011_10_03_drive_0027_0000001355,0.0,1.0,0.735,0
221,0.0,20,0,,,14,0|1|2|4|5|6|7|8|10|11|14|15|17|19,2011_10_03_drive_0027_0000001347|2011_10_03_drive_0027_0000001348|2011_10_03_drive_0027_0000001349|2011_10_03_drive_0027_0000001351|2011_10_03_drive_0027_0000001352|2011_10_03_drive_0027_0000001353|2011_10_03_drive_0027_0000001354|2011_10_03_drive_0027_0000001355|2011_10_03_drive_0027_0000001357|2011_10_03_drive_0027_0000001358|2011_10_03_drive_0027_0000001361|2011_10_03_drive_0027_0000001362|2011_10_03_drive_0027_0000001364|2011_10_03_drive_0027_0000001366,0.0,1.0,3.74,0
222,0.0,12,0,,,10,0|1|2|3|4|5|8|9|10|11,2011_10_03_drive_0027_0000001526|2011_10_03_drive_0027_0000001527|2011_10_03_drive_0027_0000001528|2011_10_03_drive_0027_0000001529|2011_10_03_drive_0027_0000001530|2011_10_03_drive_0027_0000001531|2011_10_03_drive_0027_0000001534|2011_10_03_drive_0027_0000001535|2011_10_03_drive_0027_0000001536|2011_10_03_drive_0027_0000001537,0.0,1.0,4.849,0
223,0.0,12,0,,,0,,,1.0,1.0,1.96,0
224,0.0,12,0,,,0,,,1.0,1.0,2.076,0
225,0.0,9,0,,,1,3,2011_10_03_drive_0027_0000001532,0.0,1.0,1.844,0
226,0.0,9,0,,,5,0|1|2|5|8,2011_10_03_drive_0027_0000001529|2011_10_03_drive_0027_0000001530|2011_10_03_drive_0027_0000001531|2011_10_03_drive_0027_0000001534|2011_10_03_drive_0027_0000001537,0.0,1.0,1.99,0
229,0.0,16,0,,,1,4,2011_10_03_drive_0027_0000002226,0.0,1.0,1.161,0
232,0.0,12,0,,,3,0|1|11,2011_10_03_drive_0027_0000002397|2011_10_03_drive_0027_0000002399|2011_10_03_drive_0027_0000002409,0.0,1.0,0.473,0
233,0.0,10,0,,,1,8,2011_10_03_drive_0027_0000002460,0.0,1.0,0.736,0
235,0.0,14,0,,,0,,,1.0,1.0,3.226,0
236,0.0,8,0,,,0,,,1.0,1.0,0.8,0
238,0.0,7,0,,,0,,,1.0,1.0,1.122,0
240,0.0,13,0,,,0,,,1.0,1.0,0.303,0
241,0.0,11,0,,,8,0|1|2|3|4|6|7|8,2011_10_03_drive_0027_0000003492|2011_10_03_drive_0027_0000003493|2011_10_03_drive_0027_0000003494|2011_10_03_drive_0027_0000003495|2011_10_03_drive_0027_0000003496|2011_10_03_drive_0027_0000003498|2011_10_03_drive_0027_0000003499|2011_10_03_drive_0027_0000003500,0.0,1.0,0.184,0
242,0.0,17,0,,,9,0|1|2|4|5|12|14|15|16,2011_10_03_drive_0027_0000003492|2011_10_03_drive_0027_0000003493|2011_10_03_drive_0027_0000003494|2011_10_03_drive_0027_0000003496|2011_10_03_drive_0027_0000003497|2011_10_03_drive_0027_0000003504|2011_10_03_drive_0027_0000003506|2011_10_03_drive_0027_0000003507|2011_10_03_drive_0027_0000003508,0.0,1.0,1.439,0
243,0.0,20,0,,,10,0|2|3|4|7|9|10|12|15|16,2011_10_03_drive_0027_0000003498|2011_10_03_drive_0027_0000003500|2011_10_03_drive_0027_0000003501|2011_10_03_drive_0027_0000003502|2011_10_03_drive_0027_0000003505|2011_10_03_drive_0027_0000003507|2011_10_03_drive_0027_0000003508|2011_10_03_drive_0027_0000003510|2011_10_03_drive_0027_0000003513|2011_10_03_drive_0027_0000003514,0.0,1.0,6.116,0
246,0.0,8,0,,,0,,,1.0,1.0,5.909,0
247,0.0,7,0,,,0,,,1.0,1.0,3.331,0
248,0.0,14,0,,,8,0|1|2|4|10|11|12|13,2011_10_03_drive_0027_0000003834|2011_10_03_drive_0027_0000003835|2011_10_03_drive_0027_0000003837|2011_10_03_drive_0027_0000003839|2011_10_03_drive_0027_0000003845|2011_10_03_drive_0027_0000003846|2011_10_03_drive_0027_0000003847|2011_10_03_drive_0027_0000003848,0.0,1.0,0.254,0
249,0.0,12,0,,,0,,,1.0,1.0,0.412,0
251,0.0,8,0,,,0,,,1.0,1.0,1.403,0
252,0.0,9,0,,,0,,,1.0,1.0,2.206,0
253,0.0,8,0,,,5,0|1|2|6|7,2011_10_03_drive_0034_0000000114|2011_10_03_drive_0034_0000000115|2011_10_03_drive_0034_0000000116|2011_10_03_drive_0034_0000000120|2011_10_03_drive_0034_0000000121,0.0,1.0,4.496,0
254,0.0,11,0,,,2,4|8,2011_10_03_drive_0034_0000000207|2011_10_03_drive_0034_0000000211,0.0,1.0,4.651,0
255,0.0,10,0,,,0,,,1.0,1.0,0.394,0
256,0.0,8,0,,,0,,,1.0,1.0,0.155,0
257,0.0,12,0,,,0,,,1.0,1.0,4.831,0
258,0.0,8,0,,,1,0,2011_10_03_drive_0034_0000000309,0.0,1.0,1.152,0
259,0.0,7,0,,,0,,,1.0,1.0,1.131,0
260,0.0,9,0,,,0,,,1.0,1.0,3.802,0
261,0.0,7,0,,,0,,,1.0,1.0,2.163,0
262,0.0,13,0,,,4,3|10|11|12,2011_10_03_drive_0034_0000000489|2011_10_03_drive_0034_0000000496|2011_10_03_drive_0034_0000000497|2011_10_03_drive_0034_0000000498,0.0,1.0,0.537,0
263,0.0,13,0,,,4,2|3|11|12,2011_10_03_drive_0034_0000000488|2011_10_03_drive_0034_0000000489|2011_10_03_drive_0034_0000000497|2011_10_03_drive_0034_0000000498,0.0,1.0,0.612,0
264,0.0,11,0,,,0,,,1.0,1.0,0.971,0
