sign_id,ratio,k,n_injected,injected_idx,injected_frames,n_detected,detected_idx,detected_frames,detect_precision,detect_recall,err_m,fallback
81,0.4,7,3,0|1|3,2011_09_26_drive_0101_0000000426|2011_09_26_drive_0101_0000000427|2011_09_26_drive_0101_0000000429,3,1|3|6,2011_09_26_drive_0101_0000000427|2011_09_26_drive_0101_0000000429|2011_09_26_drive_0101_0000000432,0.667,0.667,2.447,0
84,0.4,8,3,3|6|7,2011_09_26_drive_0101_0000000747|2011_09_26_drive_0101_0000000750|2011_09_26_drive_0101_0000000751,3,5|6|7,2011_09_26_drive_0101_0000000749|2011_09_26_drive_0101_0000000750|2011_09_26_drive_0101_0000000751,0.667,0.667,3.106,0
87,0.4,19,8,2|3|6|7|11|14|17|18,2011_09_26_drive_0104_0000000018|2011_09_26_drive_0104_0000000019|2011_09_26_drive_0104_0000000022|2011_09_26_drive_0104_0000000023|2011_09_26_drive_0104_0000000027|2011_09_26_drive_0104_0000000030|2011_09_26_drive_0104_0000000033|2011_09_26_drive_0104_0000000034,3,3|11|18,2011_09_26_drive_0104_0000000019|2011_09_26_drive_0104_0000000027|2011_09_26_drive_0104_0000000034,1.0,0.375,1.158,0
88,0.4,19,8,3|5|6|7|13|14|15|18,2011_09_26_drive_0104_0000000019|2011_09_26_drive_0104_0000000021|2011_09_26_drive_0104_0000000022|2011_09_26_drive_0104_0000000023|2011_09_26_drive_0104_0000000029|2011_09_26_drive_0104_0000000030|2011_09_26_drive_0104_0000000031|2011_09_26_drive_0104_0000000034,3,3|6|14,2011_09_26_drive_0104_0000000019|2011_09_26_drive_0104_0000000022|2011_09_26_drive_0104_0000000030,1.0,0.375,1.428,0
89,0.4,12,5,1|3|8|10|11,2011_09_26_drive_0104_0000000017|2011_09_26_drive_0104_0000000019|2011_09_26_drive_0104_0000000024|2011_09_26_drive_0104_0000000026|2011_09_26_drive_0104_0000000027,3,1|3|11,2011_09_26_drive_0104_0000000017|2011_09_26_drive_0104_0000000019|2011_09_26_drive_0104_0000000027,1.0,0.6,14.235,0
90,0.4,19,8,0|1|3|4|5|7|8|14,2011_09_26_drive_0104_0000000035|2011_09_26_drive_0104_0000000036|2011_09_26_drive_0104_0000000038|2011_09_26_drive_0104_0000000039|2011_09_26_drive_0104_0000000040|2011_09_26_drive_0104_0000000042|2011_09_26_drive_0104_0000000043|2011_09_26_drive_0104_0000000050,3,3|4|7,2011_09_26_drive_0104_0000000038|2011_09_26_drive_0104_0000000039|2011_09_26_drive_0104_0000000042,1.0,0.375,1.0,0
91,0.4,16,6,1|4|5|6|7|9,2011_09_26_drive_0104_0000000058|2011_09_26_drive_0104_0000000061|2011_09_26_drive_0104_0000000062|2011_09_26_drive_0104_0000000063|2011_09_26_drive_0104_0000000064|2011_09_26_drive_0104_0000000066,3,5|7|9,2011_09_26_drive_0104_0000000062|2011_09_26_drive_0104_0000000064|2011_09_26_drive_0104_0000000066,1.0,0.5,1.045,0
93,0.4,14,6,1|2|5|6|7|8,2011_09_26_drive_0104_0000000197|2011_09_26_drive_0104_0000000198|2011_09_26_drive_0104_0000000201|2011_09_26_drive_0104_0000000202|2011_09_26_drive_0104_0000000203|2011_09_26_drive_0104_0000000204,3,1|2|7,2011_09_26_drive_0104_0000000197|2011_09_26_drive_0104_0000000198|2011_09_26_drive_0104_0000000203,1.0,0.5,1.973,0
94,0.4,8,3,0|3|7,2011_09_26_drive_0104_0000000215|2011_09_26_drive_0104_0000000221|2011_09_26_drive_0104_0000000229,3,0|3|7,2011_09_26_drive_0104_0000000215|2011_09_26_drive_0104_0000000221|2011_09_26_drive_0104_0000000229,1.0,1.0,0.262,0
96,0.4,7,3,0|3|5,2011_09_26_drive_0104_0000000301|2011_09_26_drive_0104_0000000304|2011_09_26_drive_0104_0000000306,3,0|5|6,2011_09_26_drive_0104_0000000301|2011_09_26_drive_0104_0000000306|2011_09_26_drive_0104_0000000307,0.667,0.667,1.781,0
97,0.4,13,5,0|1|7|10|12,2011_09_26_drive_0106_0000000204|2011_09_26_drive_0106_0000000205|2011_09_26_drive_0106_0000000211|2011_09_26_drive_0106_0000000214|2011_09_26_drive_0106_0000000216,3,0|10|12,2011_09_26_drive_0106_0000000204|2011_09_26_drive_0106_0000000214|2011_09_26_drive_0106_0000000216,1.0,0.6,2.128,0
98,0.4,18,7,1|5|6|8|9|13|17,2011_09_26_drive_0106_0000000205|2011_09_26_drive_0106_0000000209|2011_09_26_drive_0106_0000000210|2011_09_26_drive_0106_0000000212|2011_09_26_drive_0106_0000000213|2011_09_26_drive_0106_0000000217|2011_09_26_drive_0106_0000000225,3,0|7|9,2011_09_26_drive_0106_0000000204|2011_09_26_drive_0106_0000000211|2011_09_26_drive_0106_0000000213,0.333,0.143,1.715,0
99,0.4,10,4,2|3|5|9,2011_09_26_drive_0106_0000000214|2011_09_26_drive_0106_0000000215|2011_09_26_drive_0106_0000000217|2011_09_26_drive_0106_0000000225,3,3|5|9,2011_09_26_drive_0106_0000000215|2011_09_26_drive_0106_0000000217|2011_09_26_drive_0106_0000000225,1.0,0.75,7.891,0
102,0.4,11,4,1|2|7|8,2011_09_28_drive_0002_0000000035|2011_09_28_drive_0002_0000000037|2011_09_28_drive_0002_0000000047|2011_09_28_drive_0002_0000000049,3,1|3|8,2011_09_28_drive_0002_0000000035|2011_09_28_drive_0002_0000000039|2011_09_28_drive_0002_0000000049,0.667,0.5,1.314,0
103,0.4,14,6,3|4|5|8|9|13,2011_09_28_drive_0002_0000000062|2011_09_28_drive_0002_0000000063|2011_09_28_drive_0002_0000000064|2011_09_28_drive_0002_0000000067|2011_09_28_drive_0002_0000000068|2011_09_28_drive_0002_0000000072,3,4|6|9,2011_09_28_drive_0002_0000000063|2011_09_28_drive_0002_0000000065|2011_09_28_drive_0002_0000000068,0.667,0.333,10.654,0
105,0.4,8,3,1|2|3,2011_09_29_drive_0026_0000000004|2011_09_29_drive_0026_0000000006|2011_09_29_drive_0026_0000000008,3,1|2|3,2011_09_29_drive_0026_0000000004|2011_09_29_drive_0026_0000000006|2011_09_29_drive_0026_0000000008,1.0,1.0,0.479,0
